Seraphine,Akali,Sivir,Swain,Braum,Nautilus,MonkeyKing,Teemo,Draven,Pyke,0
Nami,Braum,Nidalee,Khazix,Soraka,Yuumi,Velkoz,Tristana,Teemo,Senna,1
Malphite,Jax,Gnar,Sivir,TwistedFate,Sylas,Maokai,Neeko,MonkeyKing,Darius,1
Lucian,Lux,Chogath,Blitzcrank,Urgot,Seraphine,Senna,Nasus,Akshan,AurelionSol,0
Lux,Nunu,Soraka,Warwick,Rammus,Caitlyn,Anivia,Zeri,Lucian,Ivern,1
Xerath,Lucian,Caitlyn,JarvanIV,Ashe,Akali,Jinx,Varus,Ivern,Shen,1
Illaoi,Varus,Anivia,Hecarim,Quinn,Talon,Jayce,Caitlyn,Yuumi,Kaisa,0
TwistedFate,Irelia,Neeko,Teemo,Rammus,Taliyah,Senna,Fiora,Sion,Katarina,0
Jax,Sion,Lux,Naafiri,Anivia,Malphite,Lucian,Vladimir,Gnar,Jinx,0
Zoe,Draven,Nautilus,TwistedFate,Kayle,Pantheon,Alistar,Shyvana,Soraka,Tryndamere,1
Velkoz,Caitlyn,Heimerdinger,Ekko,Leona,Morgana,LeeSin,Veigar,Urgot,Galio,0
Ezreal,MasterYi,AurelionSol,Xayah,RekSai,Teemo,Fizz,Ashe,Taric,Volibear,0
Sion,Varus,Vayne,Jhin,Aphelios,Vi,Khazix,Anivia,Senna,Zyra,1
Senna,Veigar,FiddleSticks,Renekton,Hecarim,Viktor,Fizz,Singed,Xayah,Velkoz,1
Karthus,Twitch,Braum,MonkeyKing,Jhin,Zed,Shyvana,Rumble,Chogath,Caitlyn,0
Neeko,Sion,Pyke,Anivia,Garen,Jhin,Viktor,Swain,Jayce,Velkoz,0
Thresh,Samira,Gwen,Twitch,Jayce,Vayne,Qiyana,Udyr,Nidalee,Ashe,0
Briar,Nunu,Syndra,Karma,Twitch,FiddleSticks,Yorick,Aphelios,Olaf,Rell,0
Nocturne,Katarina,Ahri,Viktor,Varus,Kayle,MasterYi,Vayne,Lissandra,Quinn,1
Bard,Elise,Yasuo,Singed,AurelionSol,Amumu,Renekton,Chogath,Pyke,Xerath,0
Rumble,Teemo,Bard,Briar,Braum,Maokai,Jayce,Akali,Xayah,MissFortune,1
Vex,MissFortune,Darius,Khazix,Shyvana,Ezreal,Fizz,Twitch,Malzahar,Sona,1
Akali,Corki,Ryze,Nasus,Nami,Janna,Malphite,Malzahar,Draven,Vladimir,1
Ashe,Morgana,Talon,Gnar,Renata,Senna,Brand,Udyr,Twitch,Malphite,0
Zac,Yorick,Sion,Leona,Shaco,Pyke,Blitzcrank,Neeko,Janna,Corki,0
Elise,MonkeyKing,Chogath,Malphite,Amumu,Brand,Anivia,Sivir,Rammus,Veigar,0
Viego,Sivir,Lux,Brand,Janna,Qiyana,Rumble,Belveth,Karma,Gragas,0
TahmKench,Brand,Ahri,Varus,Veigar,Tryndamere,Qiyana,Orianna,Garen,Tristana,1
Taric,Kassadin,Graves,Xayah,Lissandra,Teemo,Naafiri,Hecarim,Mordekaiser,Jhin,0
Karma,Ahri,Malzahar,Qiyana,Rammus,Lux,Morgana,Talon,Skarner,Ekko,1
Camille,Cassiopeia,KogMaw,TahmKench,Kled,Vex,Zilean,Jayce,Xayah,Veigar,1
Sion,Pantheon,Yuumi,Nilah,Soraka,Nidalee,Milio,TwistedFate,Leblanc,DrMundo,0
Akshan,Kayle,TwistedFate,Katarina,Vi,Malphite,Lulu,Illaoi,Jhin,Leblanc,0
Veigar,LeeSin,KogMaw,Chogath,Akali,Vayne,Fiora,Sona,Yone,MasterYi,1
Ornn,Karma,Fizz,Ziggs,Pantheon,Riven,Kaisa,Xerath,Braum,Gangplank,0
Gwen,Ezreal,Irelia,Ashe,Ziggs,Leblanc,Urgot,Viktor,Lux,Pyke,0
Singed,Vladimir,Sivir,Karma,Syndra,Ornn,Xerath,Ahri,Jinx,Jhin,0
Zyra,Riven,Karma,Chogath,Thresh,Tristana,Teemo,Lux,Malzahar,TahmKench,0
Naafiri,Ryze,Gwen,Talon,Ashe,Amumu,Caitlyn,KogMaw,Milio,Pyke,1
Sona,Udyr,Caitlyn,Blitzcrank,Vex,Katarina,Aatrox,Thresh,Ashe,DrMundo,1
Rumble,Zilean,AurelionSol,Khazix,Syndra,Annie,Viego,Poppy,TahmKench,Janna,0
Anivia,Ezreal,Pyke,Urgot,Quinn,Gangplank,Braum,Draven,Kayle,Skarner,1
Ashe,Brand,MasterYi,Trundle,Ahri,KogMaw,Malzahar,Khazix,Mordekaiser,Chogath,1
Tryndamere,Lissandra,Ashe,TwistedFate,Aatrox,Irelia,Maokai,Nami,Zilean,Pantheon,0
Amumu,Garen,Sona,Lux,Fiora,Camille,Ezreal,Renekton,Teemo,MissFortune,1
Fiora,Pyke,Amumu,Karma,Lucian,Heimerdinger,Syndra,Jhin,Yone,Jayce,0
Ezreal,Annie,Jhin,Trundle,JarvanIV,Vayne,Kaisa,Blitzcrank,Riven,Graves,0
Pyke,Brand,Pantheon,Swain,Ahri,Nautilus,Varus,Nunu,Twitch,Taric,1
Viego,Thresh,Janna,Diana,Fizz,FiddleSticks,Kaisa,Udyr,Kayn,Lillia,1
Bard,DrMundo,Jhin,Orianna,Vayne,Zed,Akali,MonkeyKing,FiddleSticks,Belveth,0
Maokai,Lulu,Aphelios,Zed,Blitzcrank,Twitch,Naafiri,Varus,Kindred,Fizz,0
Jax,Ziggs,Shaco,Zeri,Leona,Trundle,Nasus,Jhin,Morgana,Lulu,0
Lux,Ashe,Ezreal,Rell,Renekton,Ekko,Orianna,Urgot,Yone,Veigar,1
Veigar,Caitlyn,Soraka,MissFortune,Sona,Aatrox,Vex,Tristana,Morgana,Chogath,0
Kennen,Vayne,MonkeyKing,Garen,Lux,Soraka,JarvanIV,LeeSin,Aphelios,Cassiopeia,0
Nautilus,Bard,Katarina,Amumu,Maokai,Annie,Teemo,Orianna,Sylas,Nami,1
TahmKench,Rumble,Tryndamere,MissFortune,Varus,Jinx,Nunu,Twitch,Shaco,Renata,0
Kaisa,Kennen,XinZhao,DrMundo,Sion,Sejuani,Singed,MissFortune,Thresh,Morgana,1
Akali,Sona,Lux,Lucian,Rakan,Ryze,Sion,MonkeyKing,Jhin,MasterYi,0
Lucian,Nidalee,Thresh,AurelionSol,Teemo,Garen,Olaf,KogMaw,MonkeyKing,Velkoz,1
Renata,Ekko,Khazix,Nidalee,Chogath,JarvanIV,Morgana,Ziggs,Samira,Fiora,1
Veigar,TwistedFate,TahmKench,Nami,Velkoz,Lux,Taric,Nocturne,Gragas,Anivia,0
Amumu,Pantheon,TahmKench,Xayah,Renata,Ezreal,Ziggs,Gnar,Malphite,Brand,1
Lux,Ahri,Tryndamere,Nunu,Caitlyn,Talon,Zac,Poppy,Malzahar,Nidalee,0
Orianna,Viktor,Gangplank,Amumu,Lux,Zilean,Kaisa,Pantheon,Gnar,Leblanc,1
Sion,Maokai,Aphelios,Syndra,Zilean,Corki,Annie,Azir,Chogath,MonkeyKing,0
Yorick,Akali,JarvanIV,Jax,Nidalee,Tristana,Elise,Zeri,Rumble,Jhin,0
Diana,Heimerdinger,Kindred,MasterYi,Zoe,Tristana,XinZhao,Katarina,Jayce,LeeSin,0
Sylas,Ziggs,Teemo,Urgot,Renata,Jhin,Kindred,Mordekaiser,Swain,Sivir,0
KogMaw,Vex,Amumu,Ashe,Zyra,Nocturne,Brand,MasterYi,Mordekaiser,Sona,1
Teemo,Ezreal,Twitch,Skarner,DrMundo,Ziggs,Hecarim,MissFortune,Belveth,Olaf,0
Malzahar,Swain,Malphite,Shen,Lucian,Jhin,Ashe,Trundle,KogMaw,Nami,0
Kindred,Malphite,Ashe,AurelionSol,Skarner,Draven,JarvanIV,Ornn,Senna,Lucian,0
Veigar,Samira,Yasuo,Varus,Zeri,Zyra,Jayce,Bard,Ashe,Leona,0
Leblanc,Karma,Karthus,Akshan,Leona,Jinx,Zac,Orianna,Veigar,Varus,1
Fiora,Lissandra,Pantheon,Chogath,Warwick,Tristana,Brand,MissFortune,Kaisa,Karthus,0
Lux,Lucian,JarvanIV,Thresh,Azir,Sivir,Shyvana,Jhin,Sion,Shaco,1
MissFortune,Jhin,Zilean,Leona,Azir,Fiora,Varus,Caitlyn,Trundle,Singed,0
Renata,Zed,Riven,Zac,Rumble,Thresh,Amumu,Shaco,Ezreal,Zilean,0
Vladimir,Braum,Morgana,AurelionSol,MissFortune,Milio,Velkoz,Quinn,Irelia,Nidalee,0
Shaco,Neeko,Varus,Malphite,Katarina,Vex,KogMaw,Cassiopeia,Seraphine,Thresh,0
Yone,Tristana,DrMundo,Jhin,Sylas,Viego,Diana,Varus,Malzahar,Sion,1
Gragas,Samira,Draven,Aphelios,Zyra,Lux,KogMaw,Chogath,Zeri,Evelynn,0
Vayne,Jinx,Singed,Yorick,Seraphine,Illaoi,Kayle,Nautilus,Lissandra,Ezreal,0
Twitch,Gragas,DrMundo,Jinx,XinZhao,Nidalee,Katarina,Pyke,Xayah,Amumu,0
Vex,Rell,Orianna,Leona,XinZhao,Volibear,Lux,Illaoi,Nasus,Sivir,1
Azir,Sivir,Annie,Rumble,LeeSin,Galio,Caitlyn,Chogath,Akali,Zyra,1
Zyra,Riven,Darius,AurelionSol,Renekton,Veigar,Pantheon,Morgana,Taric,Vayne,1
Mordekaiser,Garen,Zilean,Jinx,Leona,Lux,Illaoi,Brand,Ornn,Akali,1
Nidalee,Brand,KSante,Swain,Ezreal,Lillia,Viktor,Braum,Ornn,Caitlyn,1
Fiora,Mordekaiser,Rengar,Yone,Zeri,Brand,Pantheon,DrMundo,Yorick,Ezreal,1
Twitch,Garen,Pantheon,Vayne,KogMaw,Gragas,Nautilus,Kayle,Khazix,Vex,0
Tristana,DrMundo,Velkoz,Veigar,Jhin,Fizz,JarvanIV,Renekton,Zeri,Lux,0
Udyr,Ryze,Anivia,Lulu,Irelia,Illaoi,Vayne,Leona,Varus,Xerath,1
Zed,Chogath,Soraka,Nasus,Zilean,Tryndamere,Lissandra,Amumu,Yorick,Fizz,1
Nautilus,Malphite,Ryze,Irelia,KogMaw,Galio,TwistedFate,Amumu,Xayah,Vayne,1
Teemo,Malzahar,Evelynn,Sett,Rakan,Katarina,Lissandra,Ahri,TahmKench,Pantheon,0
Kayle,Nidalee,Singed,Nautilus,Draven,Viktor,Senna,Akshan,Neeko,Sion,1
Kassadin,Renata,Sivir,TahmKench,Diana,Amumu,Sett,Nunu,Ryze,MonkeyKing,1
Shaco,Viego,Riven,Katarina,MasterYi,Nidalee,Swain,Nasus,Karthus,Ryze,1
Yasuo,Rammus,Zyra,Jhin,Ahri,Garen,Annie,Fiora,Xayah,Thresh,0
Ezreal,Vayne,Nami,AurelionSol,Blitzcrank,Veigar,Brand,Zilean,Sivir,Rengar,0
Quinn,Lulu,MissFortune,Samira,Nunu,Orianna,Malphite,Shyvana,Volibear,Shen,1
Senna,KogMaw,Zoe,Zed,Jinx,Neeko,Swain,Amumu,Veigar,Teemo,0
Chogath,Lulu,Morgana,Blitzcrank,Aatrox,Rengar,Karma,Amumu,Lucian,Nidalee,0
Nautilus,Graves,Lissandra,Morgana,Varus,Chogath,Kennen,Draven,Tristana,Ahri,1
Garen,Kassadin,Taric,Ashe,Jinx,Amumu,Orianna,Kayle,Mordekaiser,Varus,1
Ahri,Brand,Janna,Morgana,Ezreal,Twitch,Seraphine,Mordekaiser,Ashe,Sylas,1
Quinn,Singed,Garen,Ahri,Draven,Jhin,Fizz,Nasus,Malphite,Seraphine,0
Sivir,Thresh,Nautilus,Nidalee,Karthus,Pyke,Renekton,Khazix,Xayah,Graves,0
Tristana,Sivir,Sona,Aatrox,Syndra,Zed,Ziggs,Bard,Hwei,Braum,0
Azir,Sivir,Katarina,MonkeyKing,Diana,Orianna,Karthus,Gnar,Briar,JarvanIV,1
Lucian,Veigar,XinZhao,Nautilus,Jhin,Varus,Nidalee,Heimerdinger,Bard,Brand,1
Tristana,Singed,Ziggs,Pyke,MonkeyKing,Sejuani,AurelionSol,Bard,Orianna,Sivir,1
Twitch,Ekko,Bard,Tryndamere,Shaco,Vex,Chogath,Renekton,Janna,Annie,1
Quinn,Sejuani,Vayne,Yuumi,Gragas,Lulu,Sion,Thresh,Illaoi,Brand,0
Shaco,Chogath,Jinx,Senna,Velkoz,Lucian,Malphite,Braum,Jhin,Rakan,0
Yasuo,Zed,Sett,Nocturne,Gragas,JarvanIV,Renata,Leona,Kaisa,Shen,0
Orianna,Morgana,Teemo,Galio,Poppy,Ashe,Sett,Fiora,MissFortune,Xerath,1
Varus,Ashe,Garen,Lux,Fizz,Draven,Elise,Sett,Samira,Maokai,0
Nunu,Diana,Kaisa,Akali,Belveth,TahmKench,Malphite,Riven,Vi,Ashe,0
Varus,Lux,Karthus,Heimerdinger,MissFortune,Malzahar,Thresh,Orianna,FiddleSticks,Veigar,0
Janna,Naafiri,Malphite,FiddleSticks,Rakan,Bard,Amumu,Singed,Fiora,MonkeyKing,0
Pantheon,Tristana,Nunu,AurelionSol,Malphite,Khazix,Irelia,Fizz,Swain,Ezreal,0
Varus,Olaf,Malphite,Khazix,Leona,Jayce,Swain,Aatrox,TahmKench,Brand,1
FiddleSticks,Gragas,Anivia,Janna,Akshan,Aphelios,Elise,Ahri,Velkoz,Tristana,1
MonkeyKing,Darius,Samira,Ziggs,AurelionSol,DrMundo,Morgana,Xerath,Thresh,Sivir,0
Olaf,Graves,Cassiopeia,Draven,Anivia,Jinx,Tristana,Yasuo,Aatrox,MissFortune,1
Kassadin,Lux,LeeSin,TahmKench,Teemo,Ziggs,Thresh,Ahri,Naafiri,Graves,1
Graves,Neeko,Akshan,Warwick,Varus,Annie,Mordekaiser,Nidalee,Kaisa,Lux,1
Zyra,Nasus,Gnar,Pyke,Hwei,Sylas,Garen,Vayne,Maokai,Velkoz,1
Ornn,Jinx,Taliyah,TahmKench,Gnar,Amumu,TwistedFate,Draven,Graves,Ezreal,1
JarvanIV,Vladimir,Ashe,Nunu,Lissandra,Janna,Blitzcrank,Senna,Urgot,Lux,1
Sona,Vayne,Orianna,Taric,Ekko,Samira,Quinn,Varus,Jax,Soraka,0
Nautilus,Irelia,Gangplank,Leblanc,Heimerdinger,Taliyah,Gnar,Malzahar,Zyra,Evelynn,1
Seraphine,Akali,Nidalee,MonkeyKing,Senna,Khazix,Jhin,Kennen,Urgot,Zyra,1
Ashe,Taric,Sion,Leblanc,Blitzcrank,Zac,Jax,Aphelios,Karthus,Hwei,1
Kennen,TahmKench,Sona,JarvanIV,Varus,Viktor,Akali,Renekton,Lucian,Nunu,1
Lissandra,Braum,Ashe,Shyvana,TahmKench,Neeko,Briar,Syndra,Pantheon,Diana,1
Kalista,Kayle,Nasus,AurelionSol,Twitch,KogMaw,Blitzcrank,Trundle,Samira,Milio,1
Rammus,Ziggs,Chogath,Xayah,Varus,Jayce,Samira,Lillia,Volibear,Nidalee,1
Corki,Pantheon,Fizz,Lulu,MissFortune,Thresh,Morgana,Irelia,Annie,Shaco,1
Rengar,DrMundo,Mordekaiser,MissFortune,Lux,Akali,Amumu,Nocturne,Udyr,Vex,0
Twitch,AurelionSol,Ezreal,Galio,Syndra,Graves,Yorick,Cassiopeia,Rammus,Vladimir,1
Skarner,Yasuo,Blitzcrank,Graves,Gwen,Draven,Teemo,Twitch,Azir,Kindred,0
Diana,Akshan,Thresh,Ashe,Malphite,Mordekaiser,Swain,Veigar,Naafiri,Irelia,1
Poppy,Hecarim,MissFortune,Viktor,Tryndamere,Twitch,Kaisa,Mordekaiser,Anivia,JarvanIV,0
Singed,Viktor,LeeSin,Ekko,Cassiopeia,Nilah,Urgot,Blitzcrank,Pyke,Zyra,1
Hwei,Mordekaiser,Swain,AurelionSol,Twitch,Varus,Ezreal,Neeko,Nidalee,Lucian,1
Jayce,Lulu,Kaisa,Nilah,Blitzcrank,Alistar,Fizz,Shen,Graves,Lissandra,1
Renekton,Nilah,Anivia,Caitlyn,Jinx,Lucian,Ziggs,Varus,Swain,Orianna,0
Veigar,Teemo,Ezreal,Fizz,Lillia,KogMaw,Blitzcrank,Nidalee,LeeSin,Amumu,0
MissFortune,Xerath,Nami,Lissandra,Nilah,Malzahar,Nocturne,TahmKench,Ahri,Graves,1
Fizz,Pantheon,Aatrox,Azir,Ashe,Zoe,Blitzcrank,Lucian,Rengar,Riven,0
Gnar,Karma,Ziggs,Renata,Quinn,Ahri,Volibear,Kindred,Renekton,Kaisa,0
Brand,Briar,Zac,Ahri,Kaisa,Vex,Rumble,Jayce,Nidalee,Corki,0
Ashe,Sylas,Caitlyn,Shen,Vladimir,TahmKench,Malzahar,Jayce,KSante,Kaisa,1
Qiyana,Morgana,Lux,MissFortune,FiddleSticks,Ryze,Nasus,Yasuo,Yone,Gnar,0
Kayle,Riven,Lulu,Morgana,Viego,Sion,Sett,Diana,Vladimir,Thresh,1
Jhin,Ahri,Sett,Ziggs,Ryze,Nunu,TwistedFate,Zilean,Anivia,Yone,0
Sejuani,Fiora,Poppy,Tryndamere,Cassiopeia,Nautilus,Qiyana,Ahri,Morgana,Gragas,1
Ashe,Vayne,Udyr,Veigar,TwistedFate,Khazix,Mordekaiser,Xerath,Braum,Kennen,0
Pyke,Thresh,Caitlyn,Rumble,Lux,Viktor,Shaco,Zoe,Quinn,TwistedFate,0
Jayce,Leblanc,Lissandra,LeeSin,Vayne,Draven,MasterYi,Brand,Swain,Braum,1
Varus,Sona,Leona,Nidalee,Brand,Karma,TahmKench,Zed,Fiora,Nautilus,0
Chogath,Warwick,Graves,Karthus,Briar,Karma,Nilah,Lux,Thresh,DrMundo,1
Viktor,Urgot,Twitch,Malphite,Syndra,Pantheon,Draven,Blitzcrank,Zyra,Taliyah,1
Nasus,Talon,Yone,Briar,Vi,Jinx,Blitzcrank,Swain,Viktor,Ezreal,1
Briar,Teemo,Syndra,Twitch,Jinx,Malzahar,Yorick,Diana,Morgana,Braum,0
Senna,Galio,Warwick,Jinx,Soraka,Kalista,Thresh,MonkeyKing,Urgot,Nasus,0
Aatrox,TwistedFate,Malphite,MonkeyKing,Veigar,Gnar,Swain,Yasuo,Ekko,Katarina,1
Nami,Annie,Aphelios,Karma,Ornn,Zoe,Zeri,Azir,Akali,Kindred,1
Brand,Kassadin,Tryndamere,Kalista,Draven,Yone,Cassiopeia,Sylas,Nautilus,Jhin,1
Kayle,Thresh,Ryze,Nunu,Nocturne,Draven,Diana,Sett,Brand,Briar,0
Rell,Elise,Vayne,Shen,Diana,Blitzcrank,FiddleSticks,Briar,Kayle,Maokai,0
Yasuo,Braum,Zoe,Nidalee,Vi,Varus,Gragas,Xerath,Xayah,Seraphine,1
Karma,Pantheon,Malphite,Velkoz,Vex,Yone,Vayne,Renekton,Viktor,LeeSin,0
Graves,Mordekaiser,Qiyana,Nami,FiddleSticks,Diana,Morgana,Ezreal,Singed,Jinx,1
Garen,Blitzcrank,Vi,TwistedFate,Velkoz,Zoe,Thresh,Yuumi,Caitlyn,Zeri,0
JarvanIV,Kennen,Brand,Vayne,Lux,LeeSin,Gwen,Yuumi,Draven,Quinn,0
Hwei,Lux,LeeSin,Irelia,Fizz,Twitch,Caitlyn,Leona,Lulu,Karma,0
Olaf,Volibear,Viktor,JarvanIV,Draven,Shaco,Yasuo,MissFortune,Xerath,LeeSin,0
Nunu,Nami,Vex,Twitch,Talon,Sett,Kaisa,Anivia,Zoe,Jhin,1
Amumu,Jinx,Azir,Karthus,Elise,Yone,Tristana,Jax,DrMundo,Lissandra,0
Teemo,Nautilus,TahmKench,Xayah,Viego,Garen,Sivir,Janna,Jinx,Kassadin,0
Ryze,Belveth,Alistar,Aphelios,Tristana,Quinn,Hwei,Karma,Qiyana,Jax,0
Veigar,Leona,Gnar,Xayah,Taliyah,Trundle,Kayle,Caitlyn,DrMundo,Briar,1
Karthus,Gnar,Twitch,Veigar,Orianna,Sejuani,Viego,Gangplank,Shyvana,Pyke,1
Zoe,Pyke,Yuumi,Akali,JarvanIV,Shyvana,Veigar,Kayle,Katarina,Aphelios,0
Draven,Rumble,Yasuo,Xayah,Nilah,Akali,Sion,Janna,Ezreal,Aatrox,0
Kayle,Brand,TahmKench,Senna,Hwei,Nami,Corki,Ashe,Ryze,Ahri,1
Sivir,Leblanc,Bard,Zyra,Graves,Heimerdinger,Sylas,Veigar,Nilah,Caitlyn,0
Ryze,Vayne,MasterYi,Nami,MissFortune,Kayle,Lissandra,Sivir,Gwen,Renekton,0
Nami,Ashe,Anivia,Lillia,Blitzcrank,Sona,Irelia,Nidalee,Twitch,Ryze,0
Malzahar,Chogath,Yasuo,Camille,Kalista,MissFortune,Sivir,Malphite,Zed,KSante,0
Kassadin,Corki,Kaisa,Caitlyn,Thresh,Chogath,Sivir,Veigar,TwistedFate,Annie,1
Senna,Tristana,Diana,Zyra,Ornn,DrMundo,Anivia,Kindred,Malzahar,Shaco,0
Zed,Garen,Zoe,Varus,Viktor,Twitch,Galio,Gwen,Xayah,MissFortune,1
Qiyana,TahmKench,Viktor,Veigar,Thresh,Sivir,Galio,Chogath,Nasus,Syndra,0
Teemo,Leona,Viktor,Velkoz,Sion,Urgot,Nidalee,Zoe,JarvanIV,Pyke,1
Katarina,Akshan,Janna,Senna,Chogath,Ziggs,Syndra,LeeSin,Heimerdinger,Garen,0
Azir,TahmKench,Kayle,Swain,Jhin,Seraphine,Ekko,Caitlyn,Xayah,KogMaw,1
Jinx,Pyke,KogMaw,Caitlyn,MissFortune,Vex,Maokai,Zac,RekSai,Leblanc,0
Lux,Mordekaiser,Sona,Xayah,Ezreal,Zoe,Orianna,Jinx,Thresh,Malphite,1
Sion,Jayce,Ekko,Aatrox,Morgana,Gangplank,Jinx,Darius,Brand,Pantheon,0
Sylas,Lulu,Yasuo,Karthus,AurelionSol,MissFortune,Riven,Samira,Zyra,Tryndamere,0
Draven,Kindred,Nunu,Vayne,Vladimir,Veigar,Azir,Tryndamere,Poppy,Nilah,0
Galio,LeeSin,Viktor,Velkoz,Jinx,Brand,TahmKench,Janna,Kayn,MasterYi,0
Viktor,Zac,Shaco,Graves,TwistedFate,Pyke,Ahri,Hwei,Brand,Rakan,0
TwistedFate,Hecarim,Rammus,Jinx,Ashe,Vex,AurelionSol,Gragas,Khazix,Yone,1
LeeSin,Caitlyn,Volibear,Gnar,Braum,Irelia,Morgana,KogMaw,Soraka,Garen,0
Senna,Sett,Braum,Veigar,Lissandra,Anivia,TahmKench,Draven,Trundle,Zilean,0
